		
0.1	0.4	0.9
0.1220939	0.4013808	0.8331621
0.1902758	0.4477249	0.7738706
0.2487155	0.4862955	0.7175621
0.2927679	0.5198302	0.6716834
0.3285967	0.5463625	0.6238714
0.3605627	0.5645334	0.5788132
0.3890054	0.5792838	0.5362863
0.4084114	0.5594144	0.4976697
0.3787454	0.5187798	0.4615202
0.3514197	0.4813508	0.4282225
0.3259956	0.4465264	0.3972419
0.3027406	0.4146733	0.3689046
0.2805905	0.3843337	0.3419137
0.2602902	0.3565277	0.3171766
0.2414606	0.3307362	0.2942318
0.2242423	0.3071519	0.2732505
0.2078476	0.2846954	0.2532727
0.1927352	0.2639956	0.2348575
0.1790217	0.2452119	0.2181469
0.166066	0.2274659	0.2023597
0.1540638	0.2110263	0.1877346
0.1429035	0.1957396	0.1741351
0.1326216	0.1816561	0.161606
0.1228568	0.168281	0.1497072
0.1139867	0.1561313	0.1388986
0.1058199	0.1449449	0.1289469
0.09823661	0.1345579	0.1197063
0.0909915	0.1246341	0.1108778
0.08449814	0.1157399	0.1029653
0.07833309	0.1072955	0.09545288
0.07267607	0.09954689	0.08855949
0.06739401	0.09231188	0.08212304
0.06254423	0.08566901	0.07621335
0.0580302	0.07948603	0.07071277
0.05385659	0.07376929	0.06562705
0.04997165	0.06844795	0.06089306
0.04631311	0.06343671	0.05643493
0.04297111	0.05885907	0.05236253
0.03989553	0.05464631	0.04861476
0.03698124	0.0506545	0.04506354
0.03432455	0.04701554	0.04182624
0.03185799	0.04363701	0.03882061
0.02952741	0.04044473	0.03598068
0.02739204	0.03751984	0.03337862
0.02543224	0.03483545	0.03099051
0.02356751	0.03228125	0.02871824
0.02188752	0.02998013	0.0266711
0.02029557	0.02779959	0.02473124
0.01883682	0.02580149	0.02295367
